family,species,n
Asparagaceae,Dracaena reflexa,666
Moraceae,Ficus politoria,552
Lauraceae,Mespilodaphne racemosa,520
Aphloiaceae,Aphloia theiformis,506
Apocynaceae,Mascarenhasia arborescens,504
Apocynaceae,Plectaneia thouarsii,466
Rubiaceae,Gaertnera obovata,453
Poaceae,Loudetia simplex,452
Orchidaceae,Jumellea stenophylla,448
Putranjivaceae,Drypetes madagascariensis,423
Orchidaceae,Angraecum compactum,408
Apocynaceae,Tabernaemontana coffeoides,386
Phyllanthaceae,Antidesma madagascariense,383
Phyllanthaceae,Uapaca bojeri,373
Moraceae,Ficus reflexa,354
Sapindaceae,Tina striata,352
Phyllanthaceae,Uapaca densifolia,336
Apocynaceae,Carissa spinarum,322
Salicaceae,Casearia nigrescens,321
Sarcolaenaceae,Leptolaena pauciflora,320
Physenaceae,Physena madagascariensis,310
Clusiaceae,Garcinia verrucosa,306
Poaceae,Hyparrhenia rufa,306
Monimiaceae,Tambourissa purpurea,303
Myrtaceae,Syzygium emirnense,301
Apocynaceae,Petchia erythrocarpa,296
Rubiaceae,Pauridiantha paucinervis,288
Acanthaceae,Mendoncia flagellaris,279
Apocynaceae,Craspidospermum verticillatum,277
Orchidaceae,Aeranthes neoperrieri,273
Apocynaceae,Petchia madagascariensis,267
Orchidaceae,Bulbophyllum henrici,266
Violaceae,Rinorea arborea,263
Orchidaceae,Angraecum linearifolium,262
Araliaceae,Polyscias ornifolia,260
Moraceae,Pachytrophe dimepate,258
Phyllanthaceae,Uapaca littoralis,258
Euphorbiaceae,Macaranga alnifolia,255
Orchidaceae,Aeranthes caudata,250
Gentianaceae,Anthocleista madagascariensis,244
Moraceae,Trilepisium madagascariense,240
Elaeocarpaceae,Sloanea rhodantha,238
Poaceae,Aristida rufescens,232
Orchidaceae,Aerangis citrata,231
Sarcolaenaceae,Xerochlamys bojeriana,231
Asteropeiaceae,Asteropeia multiflora,228
Sapotaceae,Chrysophyllum boivinianum,228
Aquifoliaceae,Ilex mitis,223
Orchidaceae,Bulbophyllum multiflorum,221
Sarcolaenaceae,Sarcolaena multiflora,219
